symbol,name,kurs_inn,date,selskap,endring,GCS_Path
AKRBP.OL,Aker BP ASA,309.37,2023-10-09 06:00:00.000000 UTC,Aker BP,0,gs://ukens_aksjer/clean_AA231009.pdf
BORR.OL,Borr Drilling Ltd,78.44,2023-10-09 06:00:00.000000 UTC,Borr Drilling,0,gs://ukens_aksjer/clean_AA231009.pdf
EQNR.OL,Equinor ASA,353.4,2023-10-09 06:00:00.000000 UTC,Equinor,0,gs://ukens_aksjer/clean_AA231009.pdf
EPR.OL,Europris ASA,60.52,2023-10-09 06:00:00.000000 UTC,Europris,0,gs://ukens_aksjer/clean_AA231009.pdf
LSG.OL,Leroy Seafood Group ASA,45.8,2023-10-09 06:00:00.000000 UTC,Lerøy Seafood,0,gs://ukens_aksjer/clean_AA231009.pdf
MOWI.OL,Mowi ASA,167.13,2023-10-09 06:00:00.000000 UTC,Mowi,0,gs://ukens_aksjer/clean_AA231009.pdf
SATS.OL,Sats ASA,12.23,2023-10-09 06:00:00.000000 UTC,SATS,0,gs://ukens_aksjer/clean_AA231009.pdf
SRBNK.OL,Sparebank 1 SR Bank ASA,122.18,2023-10-09 06:00:00.000000 UTC,SR-Bank,0,gs://ukens_aksjer/clean_AA231009.pdf
AKRBP.OL,Aker BP ASA,309.37,2023-10-02 06:00:00.000000 UTC,Aker BP,0,gs://ukens_aksjer/clean_AA231002.pdf
BORR.OL,Borr Drilling Ltd,78.44,2023-10-02 06:00:00.000000 UTC,Borr Drilling,0,gs://ukens_aksjer/clean_AA231002.pdf
EQNR.OL,Equinor ASA,353.4,2023-10-02 06:00:00.000000 UTC,Equinor,0,gs://ukens_aksjer/clean_AA231002.pdf
LSG.OL,Leroy Seafood Group ASA,45.8,2023-10-02 06:00:00.000000 UTC,Lerøy Seafood,0,gs://ukens_aksjer/clean_AA231002.pdf
MOWI.OL,Mowi ASA,167.13,2023-10-02 06:00:00.000000 UTC,Mowi,0,gs://ukens_aksjer/clean_AA231002.pdf
ORK.OL,Orkla ASA,76.95,2023-10-02 06:00:00.000000 UTC,Orkla,0,gs://ukens_aksjer/clean_AA231002.pdf
SATS.OL,Sats ASA,12.23,2023-10-02 06:00:00.000000 UTC,SATS,0,gs://ukens_aksjer/clean_AA231002.pdf
SRBNK.OL,Sparebank 1 SR Bank ASA,122.18,2023-10-02 06:00:00.000000 UTC,SR-Bank,0,gs://ukens_aksjer/clean_AA231002.pdf
SNI.OL,Stolt-Nielsen Limited,285.71,2023-10-02 06:00:00.000000 UTC,Stolt Nielsen,0,gs://ukens_aksjer/clean_AA231002.pdf
AKRBP.OL,Aker BP ASA,309.37,2023-09-25 06:00:00.000000 UTC,Aker BP,0,gs://ukens_aksjer/clean_AA230925.pdf
BORR.OL,Borr Drilling Ltd,78.44,2023-09-25 06:00:00.000000 UTC,Borr Drilling,0,gs://ukens_aksjer/clean_AA230925.pdf
EQNR.OL,Equinor ASA,353.4,2023-09-25 06:00:00.000000 UTC,Equinor,0,gs://ukens_aksjer/clean_AA230925.pdf
LSG.OL,Leroy Seafood Group ASA,45.8,2023-09-25 06:00:00.000000 UTC,Lerøy Seafood,0,gs://ukens_aksjer/clean_AA230925.pdf
MOWI.OL,Mowi ASA,167.13,2023-09-25 06:00:00.000000 UTC,Mowi,0,gs://ukens_aksjer/clean_AA230925.pdf
ORK.OL,Orkla ASA,76.95,2023-09-25 06:00:00.000000 UTC,Orkla,0,gs://ukens_aksjer/clean_AA230925.pdf
SATS.OL,Sats ASA,12.23,2023-09-25 06:00:00.000000 UTC,SATS,0,gs://ukens_aksjer/clean_AA230925.pdf
SRBNK.OL,Sparebank 1 SR Bank ASA,122.18,2023-09-25 06:00:00.000000 UTC,SR-Bank,0,gs://ukens_aksjer/clean_AA230925.pdf
SNI.OL,Stolt-Nielsen Limited,285.71,2023-09-25 06:00:00.000000 UTC,Stolt Nielsen,0,gs://ukens_aksjer/clean_AA230925.pdf
AKRBP.OL,Aker BP ASA,309.37,2023-09-11 06:00:00.000000 UTC,Aker BP,0,gs://ukens_aksjer/clean_AA230911.pdf
BORR.OL,Borr Drilling Ltd,78.44,2023-09-11 06:00:00.000000 UTC,Borr Drilling,0,gs://ukens_aksjer/clean_AA230911.pdf
EQNR.OL,Equinor ASA,353.4,2023-09-11 06:00:00.000000 UTC,Equinor,0,gs://ukens_aksjer/clean_AA230911.pdf
MOWI.OL,Mowi ASA,167.13,2023-09-11 06:00:00.000000 UTC,Mowi,0,gs://ukens_aksjer/clean_AA230911.pdf
ORK.OL,Orkla ASA,76.95,2023-09-11 06:00:00.000000 UTC,Orkla,0,gs://ukens_aksjer/clean_AA230911.pdf
PROT.OL,Protector Forsikring ASA,177.14,2023-09-11 06:00:00.000000 UTC,Protector,0,gs://ukens_aksjer/clean_AA230911.pdf
SATS.OL,Sats ASA,12.23,2023-09-11 06:00:00.000000 UTC,SATS,0,gs://ukens_aksjer/clean_AA230911.pdf
SRBNK.OL,Sparebank 1 SR Bank ASA,122.18,2023-09-11 06:00:00.000000 UTC,SR-Bank,0,gs://ukens_aksjer/clean_AA230911.pdf
AKRBP.OL,Aker BP ASA,309.37,2023-09-04 06:00:00.000000 UTC,Aker BP,0,gs://ukens_aksjer/clean_AA230904.pdf
BORR.OL,Borr Drilling Ltd,,2023-09-04 06:00:00.000000 UTC,Borr Drilling,1,gs://ukens_aksjer/clean_AA230904.pdf
